pick_up_obj("all_purpose_flour", "./LLM_KG/initial_onto.ttl")
put_down_obj("all_purpose_flour", "countertop")
put_down_obj("onion", "countertop")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
put_down_obj("potato", "countertop")
clean("knife", "./LLM_KG/updated_onto.ttl")
put_down_tool("knife", "countertop")
put_down_obj("all_purpose_flour", "kitchen_floor")
put_down_rec("countertop", "kitchen_floor")
mix_contents("countertop", "./LLM_KG/updated_onto.ttl")
put_down_rec("countertop", "kitchen_floor")
put_down_rec("countertop", "sink")
clean("countertop", "./LLM_KG/updated_onto.ttl")
put_down_rec("countertop", "kitchen_floor")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
mix_contents("countertop", "./LLM_KG/updated_onto.ttl")
put_down_obj("all_purpose_flour", "countertop")
put_down_tool("knife", "countertop")
put_down_obj("potato", "pan")
put_down_rec("pan", "stove")
pour_contents("water", "pan")
boil("potato", "./LLM_KG/updated_onto.ttl")
put_down_rec("pan", "sink")
put_down_obj("potato", "cutting_board")
slice("onion", "knife", "./LLM_KG/updated_onto.ttl")
put_down_tool("knife", "cutting_board")
put_down_obj("onion", "countertop")
put_down_rec("bowl", "countertop")
put_down_rec("countertop", "sink")
clean("countertop", "./LLM_KG/updated_onto.ttl")
put_down_obj("potato", "bowl")
put_down_obj("onion", "bowl")
mix_contents("bowl", "./LLM_KG/updated_onto.ttl")
put_down_obj("all_purpose_flour", "countertop")
put_down_rec("countertop", "kitchen_floor")
put_down_rec("countertop", "sink")
clean("countertop", "./LLM_KG/updated_onto.ttl")
put_down_obj("oil", "countertop")
put_down_obj("salt", "countertop")
mix_contents("countertop", "./LLM_KG/updated_onto.ttl")
put_down_obj("all_purpose_flour", "kitchen_floor")
put_down_tool("knife", "kitchen_floor")
put_down_rec("countertop", "kitchen_floor")
put_down_obj("oil", "pan")
fry("samosa_filled", "./LLM_KG/updated_onto.ttl")
put_down_rec("pan", "sink")
wash("flour", "./LLM_KG/updated_onto.ttl")
