pick_up_obj("water", "./LLM_KG_Human/initial_onto.ttl")
put_down_obj("water", "countertop")
put_down_obj("lime", "countertop")
put_down_obj("tea", "countertop")
clean("glass", "./LLM_KG_Human/updated_onto.ttl")
put_down_rec("glass", "countertop")
boil("water", "./LLM_KG_Human/updated_onto.ttl")
put_down_rec("pan", "stove")
pour_contents("water", "pan")
put_down_obj("tea", "pan")
slice("lime", "knife", "./LLM_KG_Human/updated_onto.ttl")
put_down_obj("lime", "pan")
put_down_rec("glass", "sink")
put_down_rec("pan", "sink")
pour_contents("pan", "glass")
put_down_rec("glass", "countertop")
